Rank,NCTId,HealthyVolunteers,Gender,MinimumAge,MaximumAge,EligibilityCriteria
157,NCT05006196,Accepts Healthy Volunteers,Female,30,,"Inclusion Criteria:||Female 30 years of age and over|Participant has been referred to a secondary care breast screening clinic.|Participant is willing and able to give informed consent for participation in the investigation.||Exclusion Criteria||The participant may not enter the study with any known contraindication to magnetic resonance imaging (including but not limited to a pacemaker or other metallic unfixed implanted device, metallic fragments, extensive tattoos, severe claustrophobia).|Any other cause, including a significant underlying disease or disorder which, in the opinion of the investigator, may put the participant at risk by participating in the study or limit the participant's ability to participate."
158,NCT02563925,No,Female,18,,"Inclusion Criteria:||Diagnosis of CNS metastases for whom SRS or WBRT is indicated, as determined by radiation oncologist assessment|Age 18 and older at the time of consent|Written informed consent and authorization obtained from the subject/HIPAA-appointed legal representative prior to performing any protocol-related procedures including screening evaluations|ECOG performance of 0-2 with anticipated life expectancy of ≥12 weeks|Histologically or cytologically confirmed invasive breast cancer that is HER2-positive (3+ by IHC and/or >2.0 by FISH) if concurrent HER2-directed therapy is planned;|Non-CNS progression of disease as assessed by the investigator/treating physician, for which a change in systemic therapy is planned OR achievement of stable or responsive non-CNS disease for which a holiday from the current systemic therapy is planned, as assessed by the investigator/treating physician.|Measurable non-CNS disease, defined by RECIST1.1 criteria|Recovered from all toxicities associated with prior treatment, to acceptable baseline status or grade 1 or less (for lab toxicities see below limits for inclusion,), except for toxicities not considered a safety risk, such as alopecia or vitiligo. Peripheral neuropathy must be grade 2 or less|Adequate organ and marrow function, as defined below:|platelets ≥ 75x 103/μL;|absolute neutrophil count (ANC) ≥ 1,000/μL;|hemoglobin ≥ 9.0 g/dL;|total bilirubin ≤1.5 x ULN (upper limit of normal) except subject with documented Gilbert's syndrome (≤5 x ULN) or liver metastasis, who must have a baseline total bilirubin ≤3.0 mg/dL;|AST and ALT ≤ 3 x ULN, unless associated with hepatobiliary metastases, in that case ≤5 x ULN|serum creatinine ≤ 2 mg/dL (or glomerular filtration rate ≥ 50 ml/min as determined by the Cockcroft-Gault equation);|Negative hepatitis B serologic tests. If positive results are not indicative of active or chronic infection, the subjects can enter the study at the investigator's discretion|Females of childbearing potential who are sexually active with a non-sterilized male partner must use a highly effective method of contraception prior to the first dose of investigational product, and must agree to continue using such precautions for 6 months after the final dose of investigational product; cessation of contraception after this point should be discussed with a responsible physician. Periodic abstinence, the rhythm method, and the withdrawal method are not acceptable methods of contraception. They must also refrain from egg cell donation for 6 months after the final dose of investigational product;|Females of childbearing potential are defined as those who are not surgically sterile (ie, bilateral tubal ligation, bilateral oophorectomy, or complete hysterectomy) or postmenopausal (defined as 12 months with no menses without an alternative medical cause);|A highly effective method of contraception is defined as one that results in a low failure rate (i.e., less than 1% per year) when used consistently and correctly. The acceptable methods of contraception|Non-sterilized males who are sexually active with a female partner of childbearing potential must use a highly effective method of contraception from Days 1 through 90 post last dose. In addition, they must refrain from sperm donation for 90 days after the final dose of investigational product|LVEF ≥50% for patients enrolling in the HER2 directed therapy arm|Willing to attempt a baseline tumor biopsy procedure||Exclusion Criteria:||CNS complications for whom urgent neurosurgical intervention is indicated (e.g., resection, shunt placement)|Known leptomeningeal metastases not amenable to radiotherapy. Patients receiving radiotherapy for leptomeningeal metastases are eligible|Received any prior monoclonal antibody against CTLA-4, programmed cell death 1 (PD1) or programmed cell death 1 ligand 1 (PD-L1)|Subjects with a history of hypersensitivity to compounds of similar biologic composition to tremelimumab or any constituent of the product|Subjects with a history of hypersensitivity to compounds of similar biologic composition to durvalumab or any constituent of the product;|Patients unable to obtain MRI for any reason (e.g., due to pacemaker, ferromagnetic implants, claustrophobia, extreme obesity)|Concurrent enrollment in another therapeutic clinical study or receipt of an investigational product within the last 4 weeks (participation in the survival follow-up period of a study is not an exclusion criterion)|Medical conditions (aside from newly-diagnosed brain metastases) for which the chronic use of corticosteroids or other immunosuppressive medications are indicated. Note: inhaled and topical steroids are permitted|Use of immunosuppressive medications within 14 days before the first dose of study drug. The following are exceptions to this criterion: Intranasal, inhaled, topical steroids, or local steroid injections (e.g. intra articular injection); systemic corticosteroids at physiological doses not to exceed 10mg/day of prednisone or its equivalent; steroids as premedication for hypersensitivity reactions (e.g. CT scan premedication).|Subjects should not be vaccinated with live attenuated vaccines within one month prior to starting tremelimumab treatment|Any condition that, in the opinion of the investigator, would interfere with evaluation of the investigational product or interpretation of subject safety or study results|Any serious uncontrolled medical disorder or active infection that would impair the subject's ability to receive investigational product, such as conditions associated with frequent diarrhea|Active or history of autoimmune or inflammatory disorders, including inflammatory bowel disease (e.g., colitis, Crohn's), diverticulitis (with the exception of diverticulosis), irritable bowel disease, celiac disease or other serious gastrointestinal chronic conditions associated with diarrhea. Active or history of systemic lupus erythematosus or Wegener's granulomatosis, Sarcoidosis syndrome, Addison's disease, multiple sclerosis, Graves' disease, Hashimoto's thyroiditis, rheumatoid arthritis, hypophysitis, uveitis, etc. Patients without active disease in the last 5 years may be included but only after consultation with the study physician. Note: the following are exceptions to this criterion: Vitiligo or alopecia; patients with hypothyroidism (i.e. following Hashimoto syndrome) stable on hormone replacement; any chronic skin condition that does not require systemic therapy; patients with celiac disease controlled by diet alone;|Mean QT interval corrected for heart rate (QTc) ≥470 ms calculated from 3 electrocardiograms (ECGs) using Frederica's Correction;|Uncontrolled intercurrent illness including, but not limited to, symptomatic congestive heart failure, uncontrolled hypertension, unstable angina pectoris, cardiac arrhythmia, interstial lung disease, serious chronic gastrointestinal conditions associated with diarrhea, active peptic ulcer disease or gastritis, and active bleeding diatheses;|Known history of previous clinical diagnosis of tuberculosis;|History of allogeneic organ transplant;|History of leptomeningeal carcinomatosis|No active, second potentially life-threatening cancer. No history of another primary malignancy except for; malignancy treated with curative intent and no known active disease ≥5 years before the first dose of IP and of low potential risk for recurrence; adequately treated non-melanoma skin cancer or lentigo maligna without evidence of disease; adequately treated carcinoma in situ without evidence of disease;|Pregnant or breast feeding at time of consent|Any condition that would prohibit the understanding or rendering of information and consent and compliance with the requirements of this protocol|Known positive for HIV, chronic or active hepatitis B or C|Patient is unable to receive IV contrast|Neuroimaging evidence of midline shift|Major surgical procedure, as defined by the investigator, within 28 days prior to the first dose of IP. Note: Local surgery or isolated lesions for palliative intent is acceptable."
159,NCT01672021,No,All,20,80,"Inclusion Criteria:||Any patient with a history or breast cancer undergoing PET/CT either for initial staging or for disease surveillance||-||Exclusion Criteria:||Pregnant patients and patients with known contraindications for whole body MR imaging (e.g., pacemakers, recent surgery, brain vascular clips, etc.) will be excluded from the study. Patients will be screened with a questionnaire to be sure they have no medical devices that could make the procedure unsafe. Patients with glomerular filtration rate (GFR) < 15 ml/min/1.73m2 or who are on dialysis will be excluded from the study."
160,NCT00559507,No,All,18,,"Inclusion Criteria:||Histologically or cytologically confirmed carcinoma of the breast||Unresectable disease|Locally advanced or metastatic (American Joint Committee on Cancer [AJCC] stage IV) disease|Estrogen receptor-negative and progesterone receptor-negative breast cancer defined as < 10% expression by immunohistochemistry (IHC)||Measurable disease, defined (per Response Evaluation Criteria in Solid Tumors [RECIST]) as ≥ 1 unidimensionally measurable lesion ≥ 20mm by conventional techniques or ≥ 10 mm by spiral computed tomography (CT) scan||Measurable target lesions must not be in a previously irradiated field|Patients with locally advanced, unresectable disease must have progression of disease following no more than one first-line chemotherapy regimen|Patients with evidence of recurrent disease during or within 6 months after adjuvant chemotherapy will be considered to have failed one line of chemotherapy for metastatic disease|Human epidermal growth factor receptor 2 (HER2)-positive patients, defined as immunohistochemistry (IHC) 3+ or fluorescence in situ hybridization (FISH) amplification > 2.1, must have received trastuzumab (Herceptin®) in either the adjuvant or metastatic setting and have had recurrence or progression of disease, respectively|No known brain metastases|Male and female patients eligible|Menopausal status not specified|Eastern Cooperative Oncology Group (ECOG) performance status (PS) ≤ 2 (Karnofsky PS 60-100%)|Life expectancy > 3 months|Absolute neutrophil count ≥ 1,500/mcL|Platelet count ≥ 100,000/mcL|Hemoglobin > 9 g/dL|Total bilirubin normal|Aspartate aminotransferase (AST) (serum glutamic oxaloacetic transaminase [SGOT])/alanine aminotransferase (ALT) (serum glutamic pyruvate transaminase [SGPT]) ≤ 2.5 x institutional upper limit of normal|Creatinine normal OR creatinine clearance ≥ 60 mL/min||Urine protein creatinine (UPC) ratio must be ≤ 1.0||Patients with a UPC ratio > 1.0 must have a 24-hour urine protein < 1,000 mg to be eligible for study|Not pregnant or nursing|Women of child-bearing potential and men must use adequate contraception (e.g., hormonal or barrier method of birth control or abstinence) prior to, during, and for 8 weeks after completion of study therapy|Able to understand and willing to sign a written informed consent document|No history of allergic reactions attributed to compounds of similar chemical or biological composition to AZD0530|No QTc interval ≥ 500 msecs||No condition that impairs the ability to swallow AZD0530 tablets, including the following:||Gastrointestinal tract disease resulting in an inability to take oral medication or a requirement for IV alimentation|Prior surgical procedures affecting absorption|Active peptic ulcer disease||No intercurrent cardiac dysfunction including, but not limited to, any of the following:||Symptomatic congestive heart failure|Unstable angina pectoris|Uncontrolled cardiac arrhythmia|History of myocardial infarction within 6 months of treatment|No uncontrolled intercurrent illness including, but not limited to, ongoing or active infection or psychiatric illness/social situations that would limit compliance with study requirements||No severe restrictive or obstructive lung disease according to baseline pulmonary function studies including any of the following pulmonary function test (PFT) parameters:||Total lung capacity < 60%|Forced vital capacity < 50%|Forced expiratory volume in one second (FEV_1) < 50%|Diffusion capacity of carbon monoxide (DLCO) < 50%|Resting room air O_2 saturation < 92% or a decline in O_2 saturation > 4% with exercise|Patients with metastatic disease may have received no more than 1 prior chemotherapy regimen|No unresolved toxicity ≥ grade 3 from agents received more than 3 weeks earlier|No chemotherapy, radiotherapy, or investigational therapy within 3 weeks (6 weeks for nitrosoureas or mitomycin C) prior to entering study|No luteinizing hormone-releasing hormone agonists within 4 weeks prior to study entry|More than 7 days since prior and no concurrent use of specifically prohibited cytochrome P 450 3A4 (CYP3A4) agents|No concurrent megestrol acetate, even when prescribed for appetite stimulation|No other concurrent investigational or commercial agents for the treatment of breast cancer|No concurrent combination antiretroviral therapy for human immunodeficiency virus (HIV)-positive patients|No concurrent megestrol acetate"
161,NCT03888677,No,Female,18,60,"Inclusion Criteria:||Node positive or 2) High-risk node negative#|no major cardiovascular morbidity|female age 18-60|ECOG/WHO performance status <1|histologically proven invasive breast cancer|written or oral witnessed informed consent according to the local Ethics Committee requirements|start of adjuvant chemotherapy within 8 weeks after surgery||Exclusion Criteria:||distant metastases (M1)|locally advanced cancer|nonradically operated (positive resection margins)|pregnancy or lactation|leukocyte count < 3.5 x109 /l|platelets < 100 x109 /l|other serious medical condition|previous or concurrent malignancies at other sites, except basal cell carcinoma and carcinoma cervicis uteri in situ"
162,NCT04578106,No,Female,40,,"Inclusion Criteria:||Female participants who are at least 40 years of age on the day of signing the informed consent form with histologically confirmed diagnosis of breast cancer.|A participant is eligible to participate if she is not pregnant, not breastfeeding.|The participant (or legally acceptable representative if applicable) provides written informed consent for the trial.||Histologically confirmed invasive adenocarcinoma of the breast, with all of the following characteristics:||HER2-positive status by local determination according to 2018 ASCO/CAP guidelines.|PAM50 HER2-enriched subtype and ERBB2-high as predefined cutoff as per central determination.|Unifocal invasive carcinoma: only 1 invasive focus can be observed (the tumor focus containing or not containing an in situ component)|Tumor largest diameter ≤2 cm as defined by breast MRI.|No nodal involvement (i.e. cN0). Any suspicious axillary node by ultrasound must be biopsied. If the biopsy or the FNA is negative of tumor cells, patient is eligible.|No evidence of distant metastasis (M0) by routine clinical assessment.|Patient must have known ER and PR status locally determined prior to study entry.|Eligible for taxane therapy.|Willingness of the patient to omit surgery if all criteria are met following neoadjuvant therapy.|Estimated life expectancy of at least 5 years irrespective of the diagnosis of breast cancer.|Breast cancer eligible for primary surgery|Have provided archival tumor tissue sample or newly obtained core. Formalin-fixed,paraffin embedded (FFPE) tissue blocks are mandatory. Available pre-treatment FFPE core biopsy evaluable for PAM50 or possibility to obtain one.|Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 1.|Ability and willingness to comply with study visits, treatment, testing and to comply with the protocol.|Have adequate organ function.||Exclusion Criteria:||Has received prior anti-cancer therapy, including investigational agents, or treatment for primary invasive breast cancer.|Known hypersensitivity to any of the excipients of trastuzumab, pertuzumab, TDM1 or paclitaxel.|Clinical stage II, III or IV.|History of radiotherapy in the ipsilateral breast or axilla.|History of surgery of the ipsilateral axilla.|Bilateral invasive breast cancer.|Infiltrating lobular carcinoma.|Multicentric or multifocal breast cancer, defined as the presence of two or more foci of cancer in the same or different quadrants of the same breast.|Patients who have undergone sentinel lymph node biopsy prior to study treatment.|Patient has active cardiac disease or a history of cardiac dysfunction|Has an active infection requiring systemic therapy.||13. Patients with a history of previous breast cancer are excluded."
163,NCT03659136,No,Female,18,,"Inclusion Criteria:||Documented histologically confirmed breast cancer with ERand/ or PgR-positive and HER2-negative status|Locally advanced or metastatic breast cancer not deemed amenable to curative surgery or curative radiation therapy|Archival tumour sample available at the time of informed consent and provided to the central laboratory around the time of randomisation. Patients must provide a formalin-fixed paraffin embedded (FFPE) tissue biopsy sample preferably taken at the time of presentation with recurrent or metastatic disease (provision of a biopsy sample taken from the bone is not acceptable).||Patients must satisfy the following criteria for prior therapy:||Disease progression during treatment or within 12 months of completion of endocrine adjuvant therapy or|Disease progression while on or within 1 month after the end of prior endocrine therapy for advanced/metastatic breast cancer (Note: the endocrine therapy does not have to be the treatment immediately prior to trial entry).||Patients must have||At least one measurable non-visceral lesion according to RECIST version 1.1 in either lymph nodes, soft tissue, skin and/or|At least one measurable non-visceral lesion according to RECIST version 1.1 as lytic or mixed (lytic + blastic) in bone and/or|At least one non-measurable (lytic, mixed lytic + blastic, or blastic) bone lesion according to RECIST version 1.1|Eastern Cooperative Oncology Group (ECOG) performance score 0 or 1.|Fasting glucose <8.9 mmol/L (<160 mg/dL) and HbA1c <8.0%|Adequate organ function||Exclusion Criteria:||Previous treatment with agents targeting the IGF pathway, AKT, or mTOR pathways|Prior treatment with exemestane (except adjuvant exemestane stopped >12 months prior to start of study treatment as long as the patient did not recur during or within 12 months after the end of adjuvant exemestane)|Evidence of visceral metastasis/es (i.e. liver, lung, peritoneal, pleural metastases, malignant pleural effusions, malignant peritoneal effusions) at screening. NOTE: Patients with a past history of visceral metastases are eligible if visceral metastases have completely resolved at least 3 months|History or evidence of metastatic disease to the brain|Leptomeningeal carcinomatosis|More than 1 prior line of chemotherapy for HR+ HER2- metastatic breast cancer|Radiotherapy within 4 weeks prior to the start of study treatment|Use of concomitant systemic sex hormone therapy|History or presence of cardiovascular abnormalities|Known pre-existing interstitial lung disease|Further exclusion criteria apply"
164,NCT00072293,No,Female,18,,"DISEASE CHARACTERISTICS:||Clinical, mammographic, ultrasonographic, or pathologic diagnosis of unicentric and unifocal breast carcinoma|Largest tumor lesion ≤ 5 cm||Palpable or nonpalpable breast lesion||Preoperative radioactive occult lesion localization, hook wire, or other method of localization required for nonpalpable lesions||Prior (preoperative) or planned (intraoperative) sentinel node biopsy required||At least 1 micrometastatic (i.e., no greater than 2 mm) sentinel lymph node with no extracapsular extension||No clinical evidence of distant metastases||No suspicious manifestation of metastases that cannot be ruled out by x-ray, MRI, or CT scan, including the following:||Skeletal pain of unknown cause|Elevated alkaline phosphatase|Bone scan showing hot spots|No palpable axillary lymph node(s)|No Paget's disease without invasive cancer||Hormone receptor status:||Estrogen receptor and progesterone receptor known||PATIENT CHARACTERISTICS:||Age||Any age||Sex||Female||Menopausal status||Any status||Performance status||Not specified||Life expectancy||Not specified||Hematopoietic||Not specified||Hepatic||See Disease Characteristics||Renal||Not specified||Other||Not pregnant or nursing||No other prior or concurrent malignancy except the following:||Adequately treated basal cell or squamous cell skin cancer|Adequately treated carcinoma in situ of the cervix|Adequately treated in situ melanoma|Contralateral or ipsilateral carcinoma in situ of the breast|No psychiatric, addictive, or other disorder that may compromise ability to give informed consent|Geographically accessible for follow-up||PRIOR CONCURRENT THERAPY:||Biologic therapy||Not specified||Chemotherapy||Not specified||Endocrine therapy||Not specified||Radiotherapy||Not specified||Surgery||See Disease Characteristics||Other||No prior systemic therapy for breast cancer|More than 1 year since prior chemopreventive agent"
165,NCT05103293,No,Female,18,70,"Inclusion Criteria:||Female between 18 to 70 years old.|Patients diagnosed as invasive breast cancer by pathology.|Clinical stage considered as T1-4N0-3M0.|HER2 overexpression by IHC or FISH positive.|Patients plan to accept neoadjuvant therapy, or plane to accept adjuvant therapy after neoadjuvant therapy and surgery.||Exclusion Criteria:||Patients have already accepted any other anti-tumor treatment not included in our project.|Patients with metastasis or not considered surgery therapy.|Patients cannot accept chemotherapy or molecular targeted therapy, because of severe cardiovascular diseases or other reasons"
166,NCT02297698,No,All,18,,"Inclusion criteria:||18 years or older|Eastern Cooperative Oncology Group (ECOG) performance status 0,1|AJCC stage I - III non-inflammatory, HER2-positive (according to ASCO-CAP guidelines 5) breast cancer|Completed neoadjuvant therapy with an approved regimen that includes trastuzumab and at least four cycles (12 weeks) of taxane-containing chemotherapy and underwent surgery with final pathology showing evidence of residual disease in the breast or axilla (residual ductal carcinoma in situ or microinvasive disease not eligible) or underwent surgery as a first intervention and was found to be pathologically node-positive: ≥ 4 positive lymph nodes (pN2 or pN3) regardless of hormone receptor status or 1-3 positive lymph nodes (pN1) if hormone receptor negative. Patients with micrometastases (pN1mi) are not eligible.|Completed an approved regimen of neoadjuvant or adjuvant therapy with an approved regimen that includes trastuzumab and at least four cycles (12 weeks) of taxane-containing chemotherapy with plan for completion of one year of trastuzumab therapy.||Completed appropriate surgical therapy to include:||Total mastectomy and axillary staging with sentinel lymph node dissection or axillary lymph node dissection (level I/II). Patients with a positive sentinel lymph node must have undergone a completion axillary lymph node dissection.|Breast conserving surgery (BCS) and axillary staging with sentinel lymph node dissection or axillary lymph node dissection. Patients undergoing surgery as a first intervention with a positive sentinel lymph node must have undergone a completion axillary dissection level I/II unless they had clinically node negative T1-T2 tumors and fewer than 3 involved lymph nodes. Patients receiving neoadjuvant chemotherapy that have a positive sentinel lymph node must have undergone a completion axillary lymph node dissection.|Completed or receiving appropriate radiation therapy if indicated:||For patients undergoing total mastectomy surgery as a first intervention, post-mastectomy radiation to the chest wall, infraclavicular and supraclavicular areas is required for patients with ≥ 4 positive lymph nodes. Radiation to the internal mammary lymph nodes is not required per protocol but is allowed at the discretion of the patient's treating radiation oncologist. For patients with 1-3 positive lymph nodes, post-mastectomy radiation to the chest wall, infraclavicular, supraclavicular, and internal mammary areas is not required per protocol but is allowed at the discretion of the patient's treating radiation oncologist.||For patients undergoing breast conserving surgery (BCS) as a first intervention, whole breast irradiation with or without a boost, and radiation to the infraclavicular and supraclavicular areas is required for patients with ≥ 4 positive lymph nodes. Radiation to the internal mammary lymph nodes is not required but is allowed at the discretion of the patient's treating radiation oncologist. For patients with 1-3 positive lymph nodes, whole breast irradiation with or without a boost is required. Radiation to the infraclavicular, supraclavicular, and internal mammary areas is not required per protocol but is allowed at the discretion of the patient's treating medical oncologist.|For patient's undergoing mastectomy after neoadjuvant chemotherapy post-mastectomy radiation to the chest wall, infraclavicular and supraclavicular areas is required for patients presenting with clinical N2 or N3 disease or with ≥ 4 positive lymph nodes identified pathologically at the time of surgery. Radiation to the internal mammary lymph nodes is not required per protocol but is allowed at the discretion of the patient's treating radiation oncologist. For patients with 0-3 positive lymph nodes identified pathologically, post-mastectomy radiation to the chest wall, infraclavicular, supraclavicular and internal mammary areas is not required per protocol but is allowed at the discretion of the patient's treating radiation oncologist.||For patient's undergoing BCS after neoadjuvant chemotherapy, whole breast irradiation with or without a boost is required. For patients with clinical N2 or N3 disease or with ≥ 4 positive lymph nodes identified pathologically at the time of surgery, radiation to the infraclavicular and supraclavicular areas is required. Radiation to the internal mammary lymph nodes is not required per protocol but is allowed at the discretion of the patient's treating radiation oncologist. For patients with 0-3 positive lymph nodes identified pathologically, radiation to the infraclavicular, supraclavicular and internal mammary areas is not required per protocol but is allowed at the discretion of the patient's treating radiation oncologist.||HLA-A2+ or HLA-A3+ or HLA-A24+ or HLA-A26+|LVEF >50%, or an LVEF within the normal limits of the institution's specific testing (MUGA or ECHO)||Adequate organ function as determined by the following laboratory values:||ANC ≥ 1,000/μL|Platelets ≥ 75,000/μL|Hgb ≥ 9 g/dL|Creatinine ≤ 1.5 x upper limit of normal (ULN) of institution's range or Creatinine clearance ≥ 50%|Total bilirubin ≤ 1.5 ULN of institution's range|ALT and AST ≤ 1.5 ULN of institution's range|For women of child-bearing potential, agreement to use adequate birth control (abstinence, hysterectomy, bilateral oophorectomy, bilateral tubal ligation, oral contraception, IUD, or use of condoms or diaphragms)|Signed informed consent||Exclusion criteria:||AJCC Stage IV breast cancer|NYHA stage 3 or 4 congestive heart failure|Immune deficiency disease or known history of HIV, HBV, HCV|Receiving immunosuppressive therapy including chronic steroids, methotrexate, or other known immunosuppressive agents|Pregnancy (assessed by urine HCG)|Breast feeding|Any active autoimmune disease requiring treatment, with the exception of vitiligo|Active pulmonary disease requiring medication to include multiple inhalers (>3 inhalers including one containing steroids)|Involved in other experimental protocols except with permission of other PI"
167,NCT00054275,No,All,18,,"DISEASE CHARACTERISTICS:||Histologically confirmed stage IV or recurrent adenocarcinoma of the breast|Measurable disease|Disease recurrence must not be within 1 year of receiving prior adjuvant docetaxel|Stable brain metastases allowed||Hormone receptor status:||Not specified||PATIENT CHARACTERISTICS:||Age||18 and over||Sex||Male or female||Menopausal status||Not specified||Performance status||ECOG (Eastern Cooperative Oncology Group) 0-2 OR|Karnofsky 60-100%||Life expectancy||More than 6 months||Hematopoietic||WBC(White Blood Count) at least 3,000/mm^3|Platelet count at least 100,000/mm^3|Absolute neutrophil count at least 1,500/mm^3|Hemoglobin at least 8 g/dL||Hepatic||Bilirubin normal|AST(aspartate aminotransferase)/ALT(alanine aminotransferase) no greater than 2.5 times upper limit of normal||Renal||Creatinine normal OR|Creatinine clearance at least 60 mL/min|No clinically significant proteinuria|No significant impairment of renal function||Cardiovascular||No New York Heart Association class III or IV heart disease|No symptomatic congestive heart failure|No unstable angina pectoris|No cardiac arrhythmia|No inadequately controlled hypertension||Other||Not pregnant or nursing|Negative pregnancy test|Fertile patients must use effective barrier contraception|No prior severe hypersensitivity reaction to docetaxel or drugs formulated with polysorbate 80|No other malignancy within the past 10 years except inactive nonmelanoma skin cancer, carcinoma in situ of the cervix, carcinoma in situ of the breast, or bilateral breast cancer|No ongoing or active infection|No peripheral neuropathy greater than grade 1|No other concurrent uncontrolled medical condition that would preclude study participation|No psychiatric illness or social situation that would preclude study compliance||PRIOR CONCURRENT THERAPY:||Biologic therapy||Prior trastuzumab (Herceptin) allowed||Chemotherapy||See Disease Characteristics|No prior chemotherapy for recurrent or metastatic disease|Prior adjuvant chemotherapy allowed||Endocrine therapy||Prior hormonal therapy allowed||Radiotherapy||Not specified||Surgery||Not specified||Other||No other concurrent investigational agents"
168,NCT00877500,No,All,18,,"Inclusion Criteria:||Patients with histologic confirmation of invasive HER2/neu-negative breast cancer (immunohistochemistry [IHC] 0-1+ or fluorescence in situ hybridization [FISH]-negative) that have received complete anthracycline and taxane neoadjuvant systemic therapy and that at the time of surgery are expected to have significant residual disease. Therapy should include at least 4 cycles of an anthracycline-based regimen (adriamycin-cytoxan [AC], 5-fluorouracil/adriamycin/intravenous [IV] cyclophosphamide [FAC], fluorouracil-epirubicin-IV cytoxan [FEC]) and 12 weeks of a taxane-based regimen (weekly paclitaxel, every 3-week docetaxel).|Patients who did not complete therapy due to disease progression are eligible.|Patients with bilateral breast cancers are eligible.|Patients should have a Karnofsky performance scale of >= 70%.|Peripheral granulocyte count of >= 1500/mm^3.|Platelet count >= 100000 mm^3.|Bilirubin within normal laboratory values.|Alkaline phosphatase may be up to 1.5 x upper limit of normal (ULN) of the institution.|Transaminases (alanine aminotransferase [ALT] and aspartate aminotransferase [AST]) may be up to 1.5 x upper limit of normal (ULN) of the institution.|Creatinine levels within normal range.|Negative serum pregnancy test for a woman of childbearing potential.|Women of childbearing potential (WOCP) must use a reliable and appropriate contraceptive method during the study and 6 months after chemotherapy is completed. Women of childbearing potential (WOCBP) are women who are not menopausal for 12 months or had no previous surgical sterilization.|Patients must agree to have study tissue collections and blood sample collections.|Patients must sign an informed consent indicating that they are aware of the investigational nature of the study, in keeping with institutional policy.|Patients should have their surgical tissues evaluated for residual cancer burden (RCB) and be used for correlative studies.|Sexually active women of childbearing potential must use an effective method of birth control during the course of the study, in a manner such that risk of failure is minimized. Prior to study enrollment, women of childbearing potential (WOCBP) must be advised of the importance of avoiding pregnancy during trial participation and the potential risk factors for an unintentional pregnancy. In addition, men enrolled on this study should understand the risks to any sexual partner of childbearing potential and should practice an effective method of birth control.|All WOCBP MUST have a negative pregnancy test within 7 days prior to first receiving investigational product. If the pregnancy test is positive, the patient must not receive investigational product and must not be enrolled in the study. In addition, all WOCBP will be instructed to contact the Investigator immediately if they suspect they might be pregnant (e.g., missed or late menstrual period) at any time during study participation. The principal investigator (PI) will immediately notify BMS in the event of a confirmed pregnancy in a patient participating in the study.||Exclusion Criteria:||Patients whose tumors express HER2 protein or have HER2/neu gene amplification.|Patients with a history of other invasive malignancies diagnosed and treated within the previous 5 years, except non-melanoma skin cancer and non-invasive cervical cancer.|Other concurrent severe and/or uncontrolled medical disease which could compromise participation in the study (i.e., uncontrolled diabetes, uncontrolled hypertension, severe infection, severe malnutrition, unstable angina, or congestive heart failure - New York Heart Association Class III or IV, ventricular arrhythmias, active ischemic heart disease, myocardial infarction within six months, chronic liver or renal disease, active upper gastrointestinal [GI] tract ulceration).|Patients with a pre-existing peripheral neuropathy > grade 1.|Evidence of distant metastases."
169,NCT00688740,No,Female,18,70,"Inclusion Criteria:||Histologically proven breast cancer (invasive adenocarcinoma with at least one axillary lymph node showing evidence of tumor among a minimum of six resected lymph nodes).|Definitive surgical treatment must be either mastectomy, or breast conserving surgery with axillary lymph node dissection for operable breast cancer. Margins of resected specimen from definitive surgery must be histologically free of invasive adenocarcinoma and ductal carcinoma.||Exclusion criteria:||Prior systemic anticancer therapy for breast cancer (immunotherapy, hormonotherapy, chemotherapy).|Prior anthracycline therapy or taxoids (paclitaxel, docetaxel) for any malignancy."
170,NCT01528345,No,Female,18,,"Inclusion Criteria:||Postmenopausal women with HER2-, HR+ locally advanced or metastatic breast cancer|Progression on or after endocrine treatment|Measureable disease as per RECIST|ECOG 0, 1 or 2||Exclusion Criteria:||Evidence of CNS or leptomeningeal metastases|Previous treatment with fulvestrant|Previous chemotherapy for locally advanced or metastatic breast cancer|Cirrhosis or chronic active/persistent hepatitis||Other protocol-defined inclusion/exclusion criteria may apply"
171,NCT00201851,No,Female,18,50,"Inclusion Criteria:||Open for accrual in Asia only|Female age 18-50,|premenopausal with regular cycles (>25-35 in length)|fine-needle aspiration diagnosis|Stage II-IIIA hormone receptor positive invasive breast cancer|No prior radiation or chemotherapy|Must be surgical candidate for bilateral oophorectomy"
